id;label;description;prix;image;latitude;longitude;language
1;SAS Account digital;visionary;95028;Concrete overriding;51250;58090;ENGLISH
2;next Steel Borders;Games innovative Bedfordshire;23427;bypassing;88223;96321;FRENCH
3;bandwidth;services HTTP Salad;82240;bypassing;10004;20452;FRENCH
4;multi-byte sky oriental;cutting-edge;52921;Cotton Car du;15551;20378;FRENCH
5;Decentralized;SAS Mexique;57653;Pants Basse-Normandie yellow;51243;93574;SPANISH
6;transmit alarm transmitting;a Baby GB;84760;functionalities payment morph;14621;49215;FRENCH
7;Tasty;enable COM evolve;93783;XSS non-volatile Sausages;81543;38010;ENGLISH
8;red Cambridgeshire;Bike Credit optimal;34033;Royaume-Uni Account;28649;29619;ENGLISH
9;Burundi;virtual maroon up;621;Borders;32464;69630;SPANISH
10;Sausages Electronics withdrawal;radical;76351;Chips b Function-based;94566;12329;ENGLISH
