id;label;description;reviews;continent;latitude;longitude;is_saved;is_liked
1;Outdoors Delesseux;technologies navigate Metal;54606;deposit;23757;70454;true;false
2;Streamlined;Presbourg Krona;80366;Toys;37766;88259;false;true
3;up Practical;Yemeni Lombards connect;10017;mobile;68572;67146;false;false
4;Re-contextualized Île-de-France cohesive;Polarised Chicken needs-based;3495;Manager;89639;57625;false;false
5;synthesize;bypass input;12689;Bacon;56583;26611;false;true
6;Auvergne;compressing Chips;80210;virtual synthesize Chips;98059;68493;false;true
7;e-services Generic;neural;47606;maroon;96787;6334;true;false
8;Ergonomic;zero;36984;Granite Cambridgeshire a;87607;18828;false;false
9;driver GB e-services;Frozen;46919;visionary Tuna Intelligent;54687;91422;true;true
10;intuitive Niger;calculating Avon;6620;open-source copy Proactive;99384;49488;false;true
